[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流血,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau4-hyut3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,：,試下,用,新,買,嗰,把,刀,先,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,#,si3-haa5,jung6,san1,maai5,go2,baa2,dou1,sin1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,#,try,use,new,buy,that,(measure),knife,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,斬,雞,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,zaam2,gai1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,chop,chicken,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,：,哎呀,！,（,手指,流血,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,#,aai1-aa3,#,#,sau2-zi2,lau4-hyut3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,#,Ouch!,#,#,finger,bleed,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,媽媽,，,咩,事,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,maa4-maa1,#,me1,si6,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,mother,#,what,matter,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,：,斬,雞,切到,手,，,傷口,好,深,，,啲,血,係噉,流,，,好,痛,呀,⋯⋯,,,,,,,,,,,,,,,,,,,
maa4-maa1,#,zaam2,gai1,cit3-dou2,sau2,#,soeng1-hau2,hou2,sam1,#,di1,hyut3,hai6-gam2,lau4,#,hou2,tung3,aa3,#,,,,,,,,,,,,,,,,,,,
mother,#,chop,chicken,cut,hand,#,wound,very,deep,#,some,blood,keep doing,flow,#,very,painful,(particle),#,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,你,舉,高,受傷,隻,手,，,用,另,一,隻,手,撳住,傷口,先,，,我,去,攞,條,毛巾,過嚟,。,,,,,,,,,,,,,,
wai5-zeon3,#,nei5,geoi2,gou1,sau6-soeng1,zek3,sau2,#,jung6,ling6,jat1,zek3,sau2,gam6-zyu6,soeng1-hau2,sin1,#,ngo5,heoi3,lo2,tiu4,mou4-gan1,gwo3-lai4,#,,,,,,,,,,,,,,
Wai Chun,#,you,raise,high,injured,(measure),hand,#,use,another,one,(measure),hand,pressing,wound,first,#,I,go,take,(measure),towel,come over here,#,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,用,毛巾,用力,撳住,傷口,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jung6,mou4-gan1,jung6-lik6,gam6-zyu6,soeng1-hau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,use,towel,hard,pressing,wound,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,：,咁,耐,都,係,未,止,血,㗎,⋯⋯,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,#,gam3,noi6,dou1,hai6,mei6,zi2,hyut3,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,#,so,long time,still,is,not yet,stop,blood,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,傷口,太,深,喇,，,都係,打,999,去,醫院,縫,針,啦,。,,,,,,,,,,,,,,,,,,,,,,,
wai5-zeon3,#,soeng1-hau2,taai3,sam1,laa3,#,dou1-hai6,daa2,gau2-gau2-gau2,heoi3,ji1-jyun2,fung4,zam1,laa1,#,,,,,,,,,,,,,,,,,,,,,,,
Wai Chun,#,wound,too,deep,(particle),#,would rather,dial,999,go,hospital,sew,needle,(particle),#,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偉俊,：,當,大量,出,血,嘅,時候,，,應該,舉,高,受傷,位置,，,儘快,用,手,、,衣服,或者,任何,布,類,用力,撳住,傷口,以,施加,壓力,，,然後,打,999,去,醫院,處理,傷口,。
wai5-zeon3,#,dong1,daai6-loeng6,ceot1,hyut3,ge3,si4-hau6,#,jing1-goi1,geoi2,gou1,sau6-soeng1,wai6-zi3,#,zeon6-faai3,jung6,sau2,#,ji1-fuk6,waak6-ze2,jam6-ho4,bou3,leoi6,jung6-lik6,gam6-zyu6,soeng1-hau2,ji5,si1-gaa1,aat3-lik6,#,jin4-hau6,daa2,gau2-gau2-gau2,heoi3,ji1-jyun2,cyu2-lei5,soeng1-hau2,#
Wai Chun,#,as,plenty,go out,blood,of,time,#,should,raise,high,injured,location,#,as soon as possible,use,hand,#,clothing,or,any,cloth,kind,hard,pressing,wound,to,add,pressure,#,then,dial,999,go,hospital,deal with,wound,#