[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,嘅,屋企,唔細,，,有,三,間,房,、,兩,個,廁所,同,兩,個,廳,。,,,,,,,,,,,,,,,,,,,,,,
Aa3-lok6,ge3,uk1-kei2,m4-sai3,#,jau5,saam1,gaan1,fong2,#,loeng5,go3,ci3-so2,tung4,loeng5,go3,teng1,#,,,,,,,,,,,,,,,,,,,,,,
Lok, 's,home,not small,#,there are,three,(measure),rooms,#,two,(measure),toilets,and,two,(measure),living rooms,#,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,屋企,有,好多,人,，,有,兩,個,大人,同,三,個,小朋友,。,屋企,成日,都,好,嘈,，,啲,嘢,又,好,亂,。,,,,,,,,,,,,,
keoi5,uk1-kei2,jau5,hou2-do1,jan4,#,jau5,loeng5,go3,daai6-jan4,tung4,saam1,go3,siu2-pang4-jau5,#,uk1-kei2,seng4-jat6,dou1,hou2,cou4,#,di1,je5,jau6,hou2,lyun6,#,,,,,,,,,,,,,
he,home,have,many,people,#,have,two,(measure),adults,and,three,(measure),children,#,home,always,also,very,noisy,#,those,things,also,very,messy,#,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
枱,上面,有,未,洗,嘅,碗,同,碟,，,爸爸,同,媽媽,都,唔想,洗,，,佢哋,都,覺得,洗碗,好,辛苦,。,,,,,,,,,,,,,,,,
toi2,soeng6-min6,jau5,mei6,sai2,ge3,wun2,tung4,dip2,#,baa4-baa1,tung4,maa4-maa1,dou1,m4-soeng2,sai2,#,keoi5-dei6,dou1,gok3-dak1,sai2-wun2,hou2,san1-fu2,#,,,,,,,,,,,,,,,,
table,above,have,not yet,wash,-,bowls,and,dishes,#,father,and,mother,all,don't want to,wash,#,they,all,feel,dishwashing,very,hard,#,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
張,櫈,上面,又,有,三,件,衫,同埋,四,條,褲,喇,，,阿樂,想,坐,都,坐,唔到,。,,,,,,,,,,,,,,,,,,,
zoeng1,dang3,soeng6-min6,jau6,jau5,saam1,gin6,saam1,tung4-maai4,sei3,tiu4,fu3,laa3,#,Aa3-lok6,soeng2,co5,dou1,co5,m4-dou2,#,,,,,,,,,,,,,,,,,,,
(measure),chair,above,again,have,three,(measure),clothes,and,four,(measure),pants,(particle),#,Lok,want to,sit,also,sit,cannot,#,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,想,去,廁所,。,左面,嘅,廁所,有,人,，,爸爸,喺,入面,沖涼,。,,,,,,,,,,,,,,,,,,,,,,,,
Aa3-lok6,soeng2,heoi3,ci3-so2,#,zo2-min6,ge3,ci3-so2,jau5,jan4,#,baa4-baa1,hai2,jap6-min6,cung1-loeng4,#,,,,,,,,,,,,,,,,,,,,,,,,
Lok,want to,go to,toilet,#,left,-,toilet,have,people,#,father,at,inside,take a shower,#,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,轉,右,，,右面,嘅,廁所,都,有,人,，,佢,拍,門,。,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,zyun3,jau6,#,jau6-min6,ge3,ci3-so2,dou1,jau5,jan4,#,keoi5,paak3,mun4,#,,,,,,,,,,,,,,,,,,,,,,,,,
he,turn,right,#,right,-,toilet,also,have,people,#,he,hit,door,#,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,細佬,同,佢,講,：,「,不如,你,落,下面,公園,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,sai3-lou2,tung4,keoi5,gong2,#,#,bat1-jyu4,nei5,lok6,haa6-min6,gung1-jyun2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
he,younger brother,with,him,say,#,#,how about,you,go down,below,park,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,覺得,好,嬲,，,佢,知道,細佬,一定,喺,入面,玩,緊,電話,。,佢,唔係,亂,估,，,佢,見過,。,,,,,,,,,,,,,,,,,
keoi5,gok3-dak1,hou2,nau1,#,keoi5,zi1-dou3,sai3-lou2,jat1-ding6,hai2,jap6-min6,waan2,gan2,din6-waa2,#,keoi5,m4-hai6,lyun6,gu2,#,keoi5,gin3-gwo3,#,,,,,,,,,,,,,,,,,
he,feel,very,angry,#,he,know,younger brother,surely,at,inside,play,-ing,telephone,#,he,is not,blindly,guess,#,he,have seen,#,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,落,街,，,去,廁所,，,再,返,上嚟,，,同,媽媽,講,返,呢,件,事,。,媽媽,話,：,「,做,人,哥哥,，,唔應該,同,細佬,嘈,。,」,,,,,,,
keoi5,lok6,gaai1,#,heoi3,ci3-so2,#,zoi3,faan1,soeng5-lai4,#,tung4,maa4-maa1,gong2,faan1,ni1,gin6,si6,#,maa4-maa1,waa6,#,#,zou6,jan4,go4-go1,#,m4-jing1-goi1,tung4,sai3-lou2,cou4,#,#,,,,,,,
he,go down,street,#,go to,toilet,#,again,come back,up,#,with,mother,say,back,this,(measure),matter,#,mother,say,#,#,be,other's,elder brother,#,should not,with,younger brother,argue,#,#,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,覺得,冇,人,明白,佢,，,真係,好,想,喊,。,成日,有,人,話,男仔,唔應該,喊,，,佢,覺得,噉,諗,有,啲,問題,。,男,同,女,都,好,，,想,喊,，,就,喊,。
keoi5,gok3-dak1,mou5,jan4,ming4-baak6,keoi5,#,zan1-hai6,hou2,soeng2,haam3,#,seng4-jat6,jau5,jan4,waa6,naam4-zai2,m4-jing1-goi1,haam3,#,keoi5,gok3-dak1,gam2,nam2,jau5,di1,man6-tai4,#,naam4,tung4,neoi5,dou1,hou2,#,soeng2,haam3,#,zau6,haam3,#
he,feel,don't have,people,understand,him,#,really,really,want to,cry,#,always,have,people,say,boy,should not,cry,#,he,feel,in this way,think,have,some,problems,#,male,and,female,also,fine,#,want to,cry,#,then,cry,#
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,入,房,，,喊,咗,一陣,，,行,出,房,。,細妹,睇,緊,電視,，,佢哋,一齊,睇,，,睇,到,笑,唔停,。,,,,,,,,,,,,,,
keoi5,jap6,fong2,#,haam3,zo2,jat1-zan6,#,haang4,ceot1,fong2,#,sai3-mui2,tai2,gan2,din6-si6,#,keoi5-dei6,jat1-cai4,tai2,#,tai2,dou3,siu3,m4-ting4,#,,,,,,,,,,,,,,
he,enter,room,#,cry,-ed,a while,#,walk,out,room,#,younger sister,watch,-ing,television,#,they,together,watch,#,watch,to,laugh,non-stop,#,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小朋友,就係,噉樣,，,喊,一陣,，,笑,一陣,，,一,日,就,過,咗,。,大人,唔喊,，,又,唔笑,，,日日,都,好,難,過,。,,,,,,,,,,,,
siu2-pang4-jau5,zau6-hai6,gam2-joeng2,#,haam3,jat1-zan6,#,siu3,jat1-zan6,#,jat1,jat6,zau6,gwo3,zo2,#,daai6-jan4,m4-haam3,#,jau6,m4-siu3,#,jat6-jat6,dou1,hou2,naan4,gwo3,#,,,,,,,,,,,,
children,exactly,in this way,#,cry,a while,#,laugh,a while,#,one,day,as a result,pass,-ed,#,adults,don't cry,#,also,don't laugh,#,every day,all,very,difficult,to pass,#,,,,,,,,,,,,
