[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同,我,一齊,救,公主,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung4,ngo5,jat1-cai4,gau3,gung1-zyu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,I,together,to save,princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,今年,十,歲,，,佢,屋企人,都,係,漁民,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,gam1-nin4,sap6,seoi3,#,keoi5,uk1-kei2-jan4,dou1,hai6,jyu4-man4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,this year,ten,age,#,he / she / it,family,"all, also",is,fisherman,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,放學,返,到,屋企,，,見,到,牀,上,有,張,濕,晒,嘅,紙,，,紙,上,寫,住,：,「,求救,，,今晚,八,點,，,一個人,嚟,長,洲,海邊,，,救,救,我哋,嘅,月亮,公主,！,」,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,fong3-hok6,faan2,dou3,uk1-kei2,#,gin3,dou2,cong4,soeng5,jau5,zoeng1,sap1,saai3,ge3,zi2,#,zi2,soeng5,se2,zyu6,#,#,kau4-gau3,#,gam1-maan5,baat3,dim2,#,jat1-go3-jan4,lai4,coeng4,zau1,hoi2-bin1,#,gau3,gau3,ngo5-dei6,ge3,jyut6-loeng6,gung1-zyu2,#,#,,,,,,,,,,,,,,,,,,,,,
David,dismissal,to return,to,home,#,see,(particle),bed,go up,have,(measure),wet,all,of,paper,#,paper,go up,to write,to live,#,#,seek help,#,tonight,eight,dot,#,alone,to come,long,continent,seaside,#,to save,to save,"we, us",of,moon,princess,#,#,,,,,,,,,,,,,,,,,,,,,
[Line 4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,諗,咗,一,諗,：,月亮,公主,？,會,唔,會,係,嫦,娥,呢,？,阿大,本身,就,係,一個,好,有,好奇,心,嘅,人,，,佢,決定,今晚,一個人,靜,雞,雞,走,去,海邊,睇,吓,係,咩,事,。,,,,,,,,,,,,,,,,,,,
aa3-daai2,nam2,zo2,jat1,nam2,#,jyut6-loeng6,gung1-zyu2,#,wui5,m4,wui5,hai6,#,#,ne1,#,aa3-daai2,bun2-san1,zau6,hai6,jat1-go3,hou2,jau5,hou3-kei4,sam1,ge3,Jan4,#,keoi5,kyut3-ding6,gam1-maan5,jat1-go3-jan4,zing6,gai1,gai1,zau2,heoi3,hoi2-bin1,tai2,haa2,hai6,me1,si6,#,,,,,,,,,,,,,,,,,,,
David,to think,-ed (perfective),one,to think,#,moon,princess,#,will,not,will,is,#,#,(particle),#,David,itself,as a result,is,one,very,have,curious,heart,of,human,#,he / she / it,to decide,tonight,alone,quiet,chicken,chicken,to leave,to go,seaside,to look,what?,is,what,matter,#,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,嚟,到,海邊,坐,咗,好,耐,，,正,想,返屋企,嗰陣,，,突然,有,條,魚,跳,出,水,面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,lai4,dou3,hoi2-bin1,co5,zo2,hou2,noi6,#,zing3,soeng2,faan1-uk1-kei2,go2-zan6,#,dat6-jin4,jau5,tiu4,jyu4,tiu3,ceot1,seoi2,min6;min2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he / she / it,to come,to,seaside,to sit,-ed (perfective),very,long time,#,upright,to want,to go home,that time,#,all at once,have,(measure),fish,to jump,to go out,water,surface,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
條,魚,好,緊張,噉,講,：,「,阿大,，,我,係,魚仔,呀,！,仲,記,唔記得,我,呀,？,兩,年,前,，,你,見,我,喺,海邊,俾,魚,網,卡,住,，,就,過,嚟,救,咗,我,。,呢,次,可,唔,可以,求,你,救,下,我哋,嘅,月亮,公主,呀,？,唔該,你,吖,！,」,
tiu4,jyu4,hou2,gan2-zoeng1,gam2,gong2,#,#,aa3-daai2,#,ngo5,hai6,jyu2-jai2,aa4,#,zung6,gei3,m4-gei3-dak1,ngo5,aa4,#,loeng5,nin4,cin4,#,nei5,gin3,ngo5,hai2,hoi2-bin1,bei2,jyu4,mong5,kaa1,zyu6,#,zau6,gwo3,lai4,gau3,zo2,ngo5,#,ne1,ci3,ho2,m4,ho2-ji5,kau4,nei5,gau3,haa5,ngo5-dei6,ge3,jyut6-loeng6,gung1-zyu2,aa4,#,m4-goi1,nei5,aa1,#,#,
(measure),fish,very,nervous,then,to say,#,#,David,#,I,is,Fishie,(particle),#,still,remember,to forget,I,(particle),#,two,year,front,#,you,to meet,I,at,seaside,to give,fish,web,stuck,to live,#,as a result,to pass,to come,to save,-ed (perfective),I,#,(particle),"time (e.g. one time, two times)","can, may",not,can,beg,you,to save,"time (e.g. one time, two times)","we, us",of,moon,princess,(particle),#,Thanks,you,(particle),#,#,
[Line 9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,諗,咗,諗,，,好似,係,有,呢,回,事,，,就,問,：,「,張,紙,係,你,寫,㗎,？,發生,咗,咩,事,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,nam2,zo2,nam2,#,hou2-ci5,hai6,jau5,ne1,wui4,si6,#,zau6,man6,#,#,zoeng1,zi2,hai6,nei5,se2,ga3,#,faat3-sang1,zo2,me1,si6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,to think,-ed (perfective),to think,#,seems,is,have,(particle),return,matter,#,as a result,to ask,#,#,(measure),paper,is,you,to write,(particle),#,to happen,-ed (perfective),what,matter,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚仔,就,話,：,「,係,呀,！,我哋,嘅,月亮,公主,俾,海,入面,嘅,壞,魚,捉,走,咗,，,我,想,你,同,我,一齊,救,佢,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu2-jai2,zau6,waa6,#,#,hai6,aa4,#,ngo5-dei6,ge3,jyut6-loeng6,gung1-zyu2,bei2,hoi2,jap6-min6,ge3,waai6,jyu4,zuk1,zau2,zo2,#,ngo5,soeng2,nei5,tung4,ngo5,jat1-cai4,gau3,keoi5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishie,as a result,to say,#,#,is,(particle),#,"we, us",of,moon,princess,to give,sea,inside,of,bad,fish,to catch,to leave,-ed (perfective),#,I,to want,you,and,I,together,to save,he / she / it,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,雖然,唔,知,發生,咩,事,，,但,見,佢,咁,驚,，,二,話,不,説,就,跟住,魚仔,出發,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,seoi1-jin4,m4,zi1,faat3-sang1,me1,si6,#,#,gin3,keoi5,gam3,ging1,#,ji6,waa6,bat1,syut3,zau6,gan1-zyu6,jyu2-jai2,ceot1-faat3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,although,not,to know,to happen,what,matter,#,#,to meet,he / she / it,so,afraid,#,two,to say,no,to say,as a result,and then,Fishie,start,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,戴,上,潛水,鏡,，,就,跳,咗,入,海,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,daai3,soeng5,cim4-seoi2,geng3,#,zau6,tiu3,zo2,jap6,hoi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,put on,go up,to dive,mirror,#,as a result,to jump,-ed (perfective),to enter,sea,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海,入面,太,黑,喇,，,阿大,要,捉住,魚仔,游,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoi2,jap6-min6,taai3,hak1,laa3,#,aa3-daai2,jiu3,zuk1-zyu6,jyu2-jai2,jau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea,inside,too,black,already,#,David,to want,catch,Fishie,to swim,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,阿大,見到,前面,有,一,大,班,魚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,aa3-daai2,gin3-dou2,cin4-min6,jau5,jat1,daai6,baan1,jyu4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all at once,#,David,to see,front,have,one,big,class,fish,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,細,細聲,問,魚仔,：,「,佢哋,係,邊個,嚟,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,sai3,sai3-seng1,man6,jyu2-jai2,#,#,keoi5-dei6,hai6,bin1-go3,lai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,small,low voice,to ask,Fishie,#,#,they,is,who,to come,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚仔,話,：,「,佢哋,係,保護,我哋,海洋,世界,嘅,守,衛,隊,，,之前,佢哋,嘅,數目,仲係,好多,㗎,，,不過,呢,幾年,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu2-jai2,waa6,#,#,keoi5-dei6,hai6,bou2-wu6,ngo5-dei6,hoi2-joeng4,sai3-gaai3,ge3,sau2,#,deoi6,#,zi1-cin4,keoi5-dei6,ge3,sou3-muk6,zung6-hai6,hou2-do1,gaa3,#,bat1-gwo3,ne1,gei2-nin4,#-#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishie,to say,#,#,they,is,protect,"we, us",ocean,world,of,to guard,#,team,#,before,they,of,amount,still,many,(particle),#,only,(particle),few years,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,唔,知,魚仔,點解,噉,講,，,只好,點,點頭,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,m4,zi1,jyu2-jai2,dim2-gaai2,gam2,gong2,#,zi2-hou2,dim2,dim2-tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,not,to know,Fishie,why,then,to say,#,have no choice but,dot,to nod,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游,咗,冇,耐,，,佢哋,又,撞,見,一,條,識,發,光,嘅,魚,，,阿大,叫,咗,一,聲,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau4,zo2,mou5,noi6,#,keoi5-dei6,jau6,zong6,gin3,jat1,tiu4,sik1,faat3,gwong1,ge3,jyu4,#,aa3-daai2,giu3,zo2,jat1,seng1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to swim,-ed (perfective),don't have,long time,#,they,again,to hit,to meet,one,(measure),to know,send out,light,of,fish,#,David,to call,-ed (perfective),one,sound,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚仔,笑,笑,口,講,：,「,唔使,驚,，,佢,係,我哋,嘅,守,衛,隊,隊,長,阿六,，,佢,今日,係,嚟,幫,我哋,手,㗎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu2-jai2,siu3,siu3,hau2,gong2,#,#,m4-sai2,ging1,#,keoi5,hai6,ngo5-dei6,ge3,sau2,#,deoi6,deoi6,coeng4,aa3-luk6,#,keoi5,gam1-jat6,hai6,lai4,bong1,ngo5-dei6,sau2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishie,to laugh,to laugh,mouth,to say,#,#,no need,afraid,#,he / she / it,is,"we, us",of,to guard,#,team,team,long,Luke,#,he / she / it,today,is,to come,to help,"we, us",hand,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因為,阿六,識,得,發,光,，,游,得,又,快,，,所以,阿大,捉住,阿六,游,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan1-wai6,aa3-luk6,sik1,dak1,faat3,gwong1,#,jau4,dak1,jau6,faai3,#,so2-ji5,aa3-daai2,zuk1-zyu6,aa3-luk6,jau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
because,Luke,to know,okay,send out,light,#,to swim,okay,again,fast,#,therefore,David,catch,Luke,to swim,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,嗚,，,嗚,，,嗚,」,，,有啲,怪,聲,喎,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,wu1,#,wu1,#,wu1,#,#,jau5-di1,gwaai3,seng1,wo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,onomatopoeia of crying,#,onomatopoeia of crying,#,onomatopoeia of crying,#,#,a bit,strange,sound,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘩,！,阿大,撞,到,一,條,好,大,嘅,怪,魚,！,呢,條,怪,魚,啲,牙,好,尖,，,個,樣,好,得,人,驚,。,阿大,驚,到,即刻,想,調,頭,走,。,,,,,,,,,,,,,,,,,,,,,,,,,,
waa1,#,aa3-daai2,zong6,dou3,jat1,tiu4,hou2,daai6,ge3,gwaai3,jyu4,#,ne1,tiu4,gwaai3,jyu4,di1,ngaa4,hou2,zim1,#,go3,joeng6,hou2,dak1,Jan4,ging1,#,aa3-daai2,ging1,dou3,zik1-hak1,soeng2,diu6,tau4,zau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,
Wow!,#,David,to hit,to,one,(measure),very,big,of,strange,fish,#,(particle),(measure),strange,fish,some,tooth,very,sharp,#,(measure),kind,very,okay,human,afraid,#,David,afraid,to,at once,to want,tone,head,to leave,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點知,條,魚,細,細聲,噉,話,：,「,你,⋯⋯,你哋,好,啊,，,我,係,阿光,，,我,知道,你哋,揾,緊,公主,，,我,係,嚟,幫手,㗎,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-zi1,tiu4,jyu4,sai3,sai3-seng1,gam2,waa6,#,#,nei5,#-#,nei5-dei6,hou2,aa3,#,ngo5,hai6,aa3-gwong1,#,ngo5,zi1-dou3,nei5-dei6,wan2,gan2,gung1-zyu2,#,ngo5,hai6,lai4,bong1-sau2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unexpectedly,(measure),fish,small,low voice,then,to say,#,#,you,#,you (plural),very,(particle),#,I,is,Kong,#,I,to know,you (plural),to find,-ing (continuous),princess,#,I,is,to come,to help,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 35],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
估,唔到,個,樣,咁,得,人,驚,嘅,阿光,，,原來,係,一,條,咁,內向,嘅,魚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu2,m4-dou2,go3,joeng6,gam3,dak1,Jan4,ging1,ge3,aa3-gwong1,#,jyun4-loi4,hai6,jat1,tiu4,gam3,noi6-hoeng3,ge3,jyu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to guess,cannot,(measure),kind,so,okay,human,afraid,of,Kong,#,it turns out,is,one,(measure),so,introvert,of,fish,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,游,吓,游,吓,，,終於,見到,公主,喇,！,佢,好似,俾,一,班,魚,捉住,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5-dei6,jau4,haa5,jau4,haa5,#,zung1-jyu1,gin3-dou2,gung1-zyu2,laa3,#,keoi5,hou2-ci5,bei2,jat1,baan1,jyu4,zuk1-zyu6,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,to swim,a bit,swim,a bit,#,at last,to see,princess,already,#,he / she / it,seems,to give,one,class,fish,catch,-ed (perfective),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,好,嬲,，,大聲,嗌,：,「,你哋,好,放,咗,個,女仔,喇,喎,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,hou2,nau1,#,daai6-seng1,aai3,#,#,nei5-dei6,hou2,fong3,zo2,go3,neoi5-zai2,laa3,wo3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,very,angry,#,loudly,shout,#,#,you (plural),very,to put,-ed (perfective),(measure),girl,already,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你哋,誤會,咗,啦,！,」,月亮,公主,即刻,游,出嚟,解釋,：,「,我,冇事,，,佢哋,唔係,壞,魚,嚟,㗎,！,事,源,係,我,諗住,而家,休,漁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5-dei6,ng6-wui6,zo2,laa1,#,#,jyut6-loeng6,gung1-zyu2,zik1-hak1,jau4,ceot1-lai4,gaai2-sik1,#,#,ngo5,mou5-si6,#,keoi5-dei6,m4-hai6,waai6,jyu4,lai4,gaa3,#,si6,#,hai6,ngo5,nam2-zyu6,ji4-gaa1,jau1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you (plural),to misunderstand,-ed (perfective),(particle),#,#,moon,princess,at once,to swim,to come out,explain,#,#,I,alright,#,they,is not,bad,fish,to come,(particle),#,matter,#,is,I,thinking about,now,to stop,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期,，,唔,會,有,漁船,嚟,捉,魚,，,就,諗住,用,海,水,洗,下面,。,點知,有,條,漁船,行,過,，,仲,放,網,落,海,捉,魚,，,我,唔,小心,俾,個,魚,網,卡,住,咗,！,好彩,佢哋,見到,，,幫,我,咬,爛,咗,個,網,，,我,至,出,到,嚟,咋,⋯⋯,」
kei4,#,m4,wui5,jau5,jyu4-syun4,lai4,zuk1,jyu4,#,zau6,nam2-zyu6,jung6,hoi2,seoi2,sai2,ha6-min6,#,dim2-zi1,jau5,tiu4,jyu4-syun4,haang4,gwo3,#,zung6,fong3,mong5,lok6,hoi2,zuk1,jyu4,#,ngo5,m4,siu2-sam1,bei2,go3,jyu4,mong5,kaa1,zyu6,zo2,#,hou2-coi2,keoi5-dei6,gin3-dou2,#,bong1,ngo5,ngaau5,laan6,zo2,go3,mong5,#,ngo5,zi3,ceot1,dou3,lai4,zaa3,#-#,#
phase,#,not,will,have,fishing boat,to come,to catch,fish,#,as a result,thinking about,to use,sea,water,to wash,underneath,#,unexpectedly,have,(measure),fishing boat,to walk,to pass,#,still,to put,web,to fall,sea,to catch,fish,#,I,not,careful,to give,(measure),fish,web,stuck,to live,-ed (perfective),#,lucky,they,to see,#,to help,I,to bite,broken,-ed (perfective),(measure),web,#,I,to,to go out,to,to come,only,#,#
[Line 43],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公主,講,講,吓,，,忍唔住,喊,咗,出嚟,：,「,依家,過度,捕魚,好,嚴重,，,佢哋,救,我,嗰時,，,我,見,身邊,好多,魚仔,都,⋯⋯,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gung1-zyu2,gong2,gong2,haa2,#,jan2-m4-zyu6,haam3,zo2,ceot1-lai4,#,#,ji1-gaa1,gwo3-dou6,bou6-jyu4,hou2,jim4-zung6,#,keoi5-dei6,gau3,ngo5,go2-si4,#,ngo5,gin3,san1-bin1,hou2-do1,jyu2-jai2,dou1,#-#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
princess,to say,to say,what?,#,cannot resist,to cry,-ed (perfective),to come out,#,#,now,too much,to fish,very,serious,#,they,to save,I,at that time,#,I,to meet,next to,many,Fishie,"all, also",#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿大,屋企人,都,係,漁民,，,聽到,佢,咁,講,，,唔多,唔少,都,有啲,愧,疚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-daai2,uk1-kei2-jan4,dou1,hai6,jyu4-man4,#,teng1-dou2,keoi5,gam3,gong2,#,m4-do1,m4-siu2,dou1,jau5-di1,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,family,"all, also",is,fisherman,#,to hear,he / she / it,so,to say,#,not many,not few,"all, also",a bit,#,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自,此,之後,，,佢,得閒,嗰陣,都,會,去,海邊,執,垃圾,，,希望,可以,鼓勵,到,更,多,人,保護,海洋,環境,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi6,#,zi1-hau6,#,keoi5,dak1-haan4,go2-zan6,dou1,wui5,heoi3,hoi2-bin1,zap1,laap6-saap3,#,hei1-mong6,ho2-ji5,gu2-lai6,dou2,gang3,do1,Jan4,bou2-wu6,hoi2-joeng4,waan4-ging2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneself,#,after,#,he / she / it,free,that time,"all, also",will,to go,seaside,pick up,trash,#,hope,can,encourage,(particle),even more,many,human,protect,ocean,environment,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,