[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛,的,風箏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi3,dik1,fung1-zang1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love,’s,kite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,一個,充滿,生氣,嘅,朝早,，,温暖,嘅,陽光,照射,住,Raju,同,Riya,嘅,屋企,。,Raju,好,興奮,噉,同,Riya,講,：,「,Riya,早晨,！,今日,天氣,真係,好好,啊,，,不如,我哋,打開,窗簾,睇下,風景,吖,？,」,Riya,毫不,猶豫,噉,答,：,「,好,呀,！,好,呀,！,」,於是,Raju,嗱嗱聲,打開,窗簾,。,Riya,慢慢行,到,去,窗,前,，,陽光,照,住,Riya,，,佢,覺得,好,温暖,、,好,舒服,。,,,,,,,,,,,,,,,
jau6,jat1-go3,cung1-mun5,sang1-hei3,ge3,ziu1-zou2,#,wan1-nyun5,ge3,joeng4-gwong1,ziu3-se6,zyu6,Raju,tung4,Riya,ge3,uk1-kei2,#,Raju,hou2,hing1-fan5,gam2,tung4,Riya,gong2,#,#,Riya,zou2-san4,#,gam1-jat6,tin1-hei3,zan1-hai6,hou2-hou2,aa3,#,bat1-jyu4,ngo5-dei6,daa2-hoi1,coeng1-lim2,tai2-haa5,fung1-ging2,aa1,#,#,Riya,hou4-bat1,jau4-jyu6,gam2,daap3,#,#,hou2,aa3,#,hou2,aa3,#,#,jyu1-si6,Raju,laa4-laa2-seng1,daa2-hoi1,coeng1-lim2,#,Riya,maan6-maan2-hang4,dou3,heoi3,coeng1,cin4,#,joeng4-gwong1,ziu3,zyu6,Riya,#,keoi5,gok3-dak1,hou2,wan1-nyun5,#,hou2,syu1-fuk6,#,,,,,,,,,,,,,,,
again,one (measure),full of,vitality,(linker),morning,#,warm,(linker),sunshine,shine,-ing,Raju,and,Riya,’s,home,#,Raju,very,excited,-ly,to,Riya,say,#,#,Riya,morning,#,today,weather,really,good,(particle),#,how about,we,open,curtain,look,landscape,(particle),#,#,Riya,not at all,hesitant,-ly,reply,#,#,good,(particle),#,good,(particle),#,#,so,Raju,quickly,open,curtain,#,Riya,walk slowly,to,towards,window,front,#,sunshine,shine,-ing,Riya,#,she,feel,very,warm,#,very,comfortable,#,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,抬起,頭,，,望,住,天空,啲,雲,講,：,「,Raju,你,睇,，,嗰,嚿,雲,係咪,好似,媽媽,呀,？,佢,好似,企,喺度,望,住,我哋,噉,。,我,真係,好,掛住,媽媽,啊,……,」,Raju,冇,出聲,，,只係,點點頭,回應,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,toi4-hei2,tau4,#,mong6,zyu6,tin1-hung1,di1,wan4,gong2,#,#,Raju,nei5,tai2,#,go2,gau6,wan4,hai6-mai6,hou2-ci5,maa4-maa1,aa3,#,keoi5,hou2-ci5,kei5,hai2-dou6,mong6,zyu6,ngo5-dei6,gam2,#,ngo5,zan1-hai6,hou2,gwaa3-zyu6,maa4-maa1,aa3,#,#,Raju,mou5,ceot1-seng1,#,zi2-hai6,dim2-dim2-tau4,wui4-jing3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,lift,head,#,stare,-ing,sky,those,cloud,say,#,#,Raju,you,look,#,that,(measure),cloud,is or isn't,look like,mother,(particle),#,it,look like,stand,right here,stare,-ing,we,in this way,#,I,really,very,miss,mother,(particle),#,#,Raju,don't have,voice out,#,just only,nod,to respond,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原來,幾,個月,前,，,Raju,同,Riya,嘅,媽媽,因為,患病,，,已經,去,咗,天堂,。,而,佢哋,嘅,爸爸,係,一個,工作狂,，,好多時,都,唔,喺,屋企,，,只係,得返,嫲嫲,照顧,佢哋,，,所以,好多時候,，,Raju,同,Riya,都,覺得,好,寂寞,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyun4-loi4,gei2,go3-jyut6,cin4,#,Raju,tung4,Riya,ge3,maa4-maa1,jan1-wai6,waan6-beng6,#,ji5-ging1,heoi3,zo2,tin1-tong4,#,ji4,keoi5-dei6,ge3,baa4-baa1,hai6,jat1-go3,gung1-zok3-kwong4,#,hou2-do1-si4,dou1,m4,hai2,uk1-kei2,#,zi2-hai6,dak1-faan1,maa4-maa4,ziu3-gu3,keoi5-dei6,#,so2-ji5,hou2-do1-si4-hau6,#,Raju,tung4,Riya,dou1,gok3-dak1,hou2,zik6-mok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it turns out,several,month(s),before,#,Raju,and,Riya,’s,mother,because,get illness,#,already,go,-en,heaven,#,and,they,’s,father,is,one (measure),workaholic,#,mostly ,also,not,at,home,#,just only,remain,grandmother,look after,they,#,therefore,most of the time,#,Raju,and,Riya,"all, also",feel,very,lonely,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,Raju,靈機一觸,，,話,：,「,係,喇,Riya,，,我,記得,媽媽,講,過,，,風箏,可以,將,訊息,帶,俾,天堂,嘅,人,，,不如,我哋,又,試下,吖,？,」,Riya,即刻,話,：,「,好,喎,！,嚟,啦,喂,！,首先,我哋,要,去,買,風箏,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,Raju,ling4-gei1-jat1-zuk1,#,waa6,#,#,hai6,laa3,Riya,#,ngo5,gei3-dak1,maa4-maa1,gong2,gwo3,#,fung1-zang1,ho2-ji5,zoeng1,seon3-sik1,daai3,bei2,tin1-tong4,ge3,jan4,#,bat1-jyu4,ngo5-dei6,jau6,si3-haa5,aa1,#,#,Riya,zik1-hak1,waa6,#,#,hou2,wo3,#,lei4,laa1,wai3,#,sau2-sin1,ngo5-dei6,jiu3,heoi3,maai5,fung1-zang1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,Raju,has a stroke of inspiration,#,say,#,#,right,(particle),Riya,#,I,remember,mother,say,-ed,#,kite,can,take,message,bring,to,heaven,(linker),people,#,how about,we,also,try,(particle),#,#,Riya,immediately,say,#,#,good,(particle),#,come,(particle),(particle),#,first of all,we,need to,go,buy,kite,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,Raju,同,Riya,即刻,雞噉腳,去,陳師奶,屋企,揾,嫲嫲,，,佢哋,一路,跑,一路,大叫,：,「,嫲嫲,！,嫲嫲,！,」,「,哎吔,，,你,兩個,鬼殺咁嘈,做咩事,啊,？,嘈,住,我,打麻雀,……,」,嫲嫲,見,Riya,同,Raju,跑,到,嗍,晒,氣,，,忍唔住,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,#,Raju,tung4,Riya,zik1-hak1,gai1-gam2-goek3,heoi3,can4-si1-naai1,uk1-kei2,wan2,maa4-maa4,#,keoi5-dei6,jat1-lou6,paau2,jat1-lou6,daai6-giu3,#,#,maa4-maa4,#,maa4-maa4,#,#,#,ai1-jaa3,#,nei5,loeng5-go3,gwai2-saat3-gam3-cou4,zou6-me1-si6,aa3,#,cou4,zyu6,ngo5,daa2-maa4-zoek2,#,#,maa4-maa4,gin3,Riya,tung4,Raju,paau2,dou3,sok3,saai3,hei3,#,jan2-m4-zyu6,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,#,Raju,and,Riya,immediately,with haste,go,Mrs Chan,home,find,grandmother,#,they,while,run,while,shout,#,#,grandmother,#,grandmother,#,#,#,Oh!,#,you,two,so noisy,what matter,(particle),#,noisy,-ing,I,play mahjong,#,#,grandmother,see,Riya,and,Raju,run,to,exhaust,all,breath,#,cannot help,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,就,話,：,「,嫲嫲,，,我哋,想,買,風箏,，,我哋,想,話,俾,媽媽,知,我哋,好,掛住,佢,啊,，,可唔可以,俾,錢,我哋,買,風箏,？,唔該,你,吖,！,」,嫲嫲,反,晒,白眼,噉,話,：,「,呢啲,嘢,都,好,信,嘅,？,唔好,嘥,錢,啦,！,」,Raju,同,Riya,都,冇,晒,心機,，,頭耷耷,噉,行,返屋企,。,「,噉,我哋,而家,點算,好,？,」,Riya,眼濕濕,想,喊,噉款,。,Raju,就,話,：,「,我哋,加加埋埋,啲,零用錢,可能,夠,錢,買,呢,？,」
Raju,zau6,waa6,#,#,maa4-maa4,#,ngo5-dei6,soeng2,maai5,fung1-zang1,#,ngo5-dei6,soeng2,waa6,bei2,maa4-maa1,zi1,ngo5-dei6,hou2,gwaa3-zyu6,keoi5,aa3,#,ho2-m4-ho2-ji3,bei2,cin2,ngo5-dei6,maai5,fung1-zang1,#,m4-goi1,nei5,aa1,#,#,maa4-maa4,faan2,saai3,baak6-ngaan5,gam2,waa6,#,#,nei1-di1,je5,dou1,hou2,seon3,ge2,#,m4-hou2,saai1,cin2,laa1,#,#,Raju,tung4,Riya,dou1,mou5,saai3,sam1-gei1,#,tau4-dap1-dap1,gam2,haang4,faan1-uk1-kei2,#,#,gam2,ngo5-dei6,ji4-gaa1,dim2-syun3,hou2,#,#,Riya,ngaan5-sap1-sap1,soeng2,haam3,gam2-fun2,#,Raju,zau6,waa6,#,#,ngo5-dei6,gaa1-gaa1-maai4-maai4,di1,ling4-jung6-cin2,ho2-nang4,gau3,cin2,maai5,ne1,#,#
Raju,then,say,#,#,grandmother,#,we,want,to buy,kite,#,we,want,to tell,to,mother,know,we,very,miss,she,(particle),#,can or cannot,give,money,we,to buy,kite,#,Thanks,you,(particle),#,#,grandmother,roll,all,(roll) eye,-ly,say,#,#,these,thing,also,worth,believe,(particle),#,do not,waste,money,(particle),#,#,Raju,and,Riya,"all, also",lost,all,motivation,#,with sunken head,-ly,walk,to go home,#,#,then,we,now,what to do,well,#,#,Riya,eyes wet with tears,want,to cry,looking like,#,Raju,then,say,#,#,we,add,these,pocket money,possible,enough,money,to buy,(particle),#,#
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,佢哋,拎,晒,豬仔錢罌,啲,錢,出嚟,，,但,數嚟數去,都係,得,雞碎咁多,，,唔,夠,錢,買,一,隻,風箏,。,房,入面,嘅,氣氛,突然,變,得,好,沉重,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,#,keoi5-dei6,ling1,saai3,zyu1-zai2-cin4-aang1,di1,cin2,ceot1-lei4,#,daan6,sou2-lei4-sou2-heoi3,dou1-hai6,dak1,gai1-seoi3-gam3-do1,#,m4,gau3,cin2,maai5,jat1,zek3,fung1-zang1,#,fong2,jap6-min6,ge3,hei3-fan1,dat6-jin4,bin3,dak1,hou2,cam4-cung5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,#,they,take,all,piggy bank,those,money,out,#,but,counting again and again,also,only have,a few pennies,#,not,enough,money,to buy,one,(measure),kite,#,room,inside,(linker),atmosphere,suddenly,change,(suffix),very,heavy,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,冇問題,嘅,，,唔,夠,錢,買,，,可以,自己,整,嘅啫,！,」,Riya,打起精神,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,mou5-man6-tai4,ge3,#,m4,gau3,cin2,maai5,#,ho2-ji5,zi6-gei2,zing2,ge3-zek1,#,#,Riya,daa2-hei2-zing1-san4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no problem,(particle),#,not,enough,money,to buy,#,can,oneself,make,(particle),#,#,Riya,to regain spirit,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,問,：,「,乜,你,識,整,咩,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,man6,#,#,mat1,nei5,sik1,zing2,me1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,ask,#,#,what,you,know,make,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,答,：,「,唔識,咪,學,囉,！,只要,我哋,一齊,整,，,冇嘢,難,到,我哋,嘅,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,daap3,#,#,m4-sik1,mai5,hok6,lo1,#,zi2-jiu3,ngo5-dei6,jat1-cai4,zing2,#,mou5-je5,naan4,dou2,ngo5-dei6,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riya,reply,#,#,don't know,then,learn,(particle),#,so long as,we,together,make,#,nothing,challenge,(suffix),we,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於是,，,Raju,同,Riya,一齊,夾手夾腳,揾,資料,學,整,風箏,，,又,揾嚟,一,堆,廢紙,，,再,另外,買,咗,一啲,平平哋,嘅,顏色,紙,、,尼龍,線,同,膠紙,。,終於,可以,開始,整,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu1-si6,#,Raju,tung4,Riya,jat1-cai4,gaap3-sau2-gaap3-goek3,wan2,zi1-liu2,hok6,zing2,fung1-zang1,#,jau6,wan2-lei4,jat1,deoi1,fai3-zi2,#,zoi3,ling6-ngoi6,maai5,zo2,jat1-di1,peng4-peng2-dei2,ge3,ngaan4-sik1,zi2,#,nei4-lung4,sin3,tung4,gaau1-zi2,#,zung1-jyu1,ho2-ji5,hoi1-ci2,zing2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therefore,#,Raju,and,Riya,together,to collaborate,find,material,learn,to make,kite,#,again,find,one,pile,waste paper,#,again,in addition,buy,-en,some,cheap,(linker),colour,paper,#,nylon,thread,and,tape,#,finally,can,begin,to make,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,同,Riya,都,好,俾心機,去,整,——,佢哋,一心,只係,想,整,好,一,隻,風箏,，,將,佢哋,心,入面,嘅,説話,帶,上,天,俾,媽媽,知道,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,tung4,Riya,dou1,hou2,bei2-sam1-gei1,heoi3,zing2,#,keoi5-dei6,jat1-sam1,zi2-hai6,soeng2,zing2,hou2,jat1,zek3,fung1-zang1,#,zoeng1,keoi5-dei6,sam1,jap6-min6,ge3,syut3-waa6,daai3,soeng5,tin1,bei2,maa4-maa1,zi1-dou3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raju,and,Riya,also,very,pay effort,to,make,#,they,wholeheartedly,just only,want to,make,well,one,(measure),kite,#,put,they,heart,inside,(linker),words,bring,up,sky,to,mother,to know,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經過,一,番,努力,，,Raju,同,Riya,終於,整,好,風箏,喇,：,有,Raju,鍾意,嘅,藍色,，,Riya,鍾意,嘅,粉紅色,，,仲有,媽媽,鍾意,嘅,紫色,，,佢哋,叫,佢,做,「,愛,的,風箏,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ging1-gwo3,jat1,faan1,nou5-lik6,#,Raju,tung4,Riya,zung1-jyu1,zing2,hou2,fung1-zang1,laa3,#,jau5,Raju,zung1-ji3,ge3,laam4-sik1,#,Riya,zung1-ji3,ge3,fan2-hung4-sik1,#,zung6-jau5,maa4-maa1,zung1-ji3,ge3,zi2-sik1,#,keoi5-dei6,giu3,keoi5,zou6,#,oi3,dik1,fung1-zang1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Through,one,(measure),effort,#,Raju,and,Riya,finally,make,well,kite,(particle),#,have,Raju,like,(linker),blue,#,Riya,like,(linker),pink,#,still have,mother,like,(linker),purple,#,they,call,it,to be,#,love,’s,kite,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢哋,喺,風箏,上面,寫,咗,好多,好多,想,同,媽媽,講,嘅,説話,，,過程,越,寫,越,激動,，,結果,佢哋,一路,寫,就,一路,喊,，,眼淚,滴,濕,晒,五顏六色,嘅,紙,——,哎呀,，,隻,風箏,噉就,穿,咗,窿,！,嗰,刻,Raju,同,Riya,呆,咗,，,擘,大,個,口,得,個,窿,……,揾,紙,補,返,好似,唔係,咁,好睇,，,睇嚟,佢哋,又,要,重新,整,過,喇,！,希望,媽媽,在天之靈,會,收到,佢哋,嘅,心意,啦,！,,,,,,,,,,
keoi5-dei6,hai2,fung1-zang1,soeng6-min6,se2,zo2,hou2-do1,hou2-do1,soeng2,tung4,maa4-maa1,gong2,ge3,syut3-waa6,#,gwo3-cing4,jyut6,se2,jyut6,gik1-dung6,#,git3-gwo2,keoi5-dei6,jat1-lou6,se2,zau6,jat1-lou6,haam3,#,ngaan5-leoi6,dik6,sap1,saai3,ng5-ngaan4-luk6-sik1,ge3,zi2,#,aai1-aa3,#,zek3,fung1-zang1,gam2-zau6,cyun1,zo2,lung1,#,go2,hak1,Raju,tung4,Riya,ngoi4,zo2,#,maak3,daai6,go3,hau2,dak1,go3,lung1,#,wan2,zi2,bou2,faan1,hou2-ci5,m4-hai6,gam3,hou2-tai2,#,tai2-lei4,keoi5-dei6,jau6,jiu3,cung4-san1,zing2,gwo3,laa3,#,hei1-mong6,maa4-maa1,zoi6-tin1-zi1-ling4,wui5,sau1-dou2,keoi5-dei6,ge3,sam1-ji3,laa1,#,,,,,,,,,,
they,at,kite,above,write,-en,many,many,want,to,mother,say,(linker),words,#,process,more,write,more,get emotional,#,result,they,while,write,then,while,cry,#,tear,drop,wet,all,colourful,(linker),paper,#,Oh no!,#,(measure),kite,then,has,-en,hole,#,that,moment,Raju,and,Riya,shocked,-en,#,open,big,(measure),mouth,only have,(measure),hole,#,find,paper,to mend,back,seems,is not,so,good-looking,#,seems,they,again,need to,again,make,-ed,(particle),#,hope,mother,soul in heaven,will,receive,they,’s,kindly feeling,(particle),#,,,,,,,,,,